Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
29/12/2017,01:38:57,2.5,19.3855,-99.1642,1,"2 km al SUROESTE de BENITO JUAREZ, CDMX",29/12/2017,07:38:57,revisado
13/02/2018,15:39:38,3.3,19.4608,-99.0723,2,"5 km al SURESTE de GUSTAVO A. MADERO, CDMX",13/02/2018,21:39:38,revisado
24/03/2018,17:24:26,3.3,19.1898,-98.9477,1,"4 km al SURESTE de S ANDRES MIXQUIC, CDMX",24/03/2018,23:24:26,revisado
07/05/2018,08:25:56,2.9,19.4012,-99.2277,6.6,"3 km al OESTE de V ALVARO OBREGON, CDMX",07/05/2018,13:25:56,revisado
15/06/2018,03:41:10,2.5,19.333,-99.1737,3,"2 km al SUROESTE de COYOACAN, CDMX",15/06/2018,08:41:10,revisado
15/06/2018,18:00:13,2.7,19.3945,-99.1868,1.5,"1 km al SURESTE de MIGUEL HIDALGO, CDMX",15/06/2018,23:00:13,revisado
30/06/2018,13:32:40,2.2,19.39,-99.153,3.5,"1 km al SURESTE de BENITO JUAREZ, CDMX",30/06/2018,18:32:40,revisado
30/06/2018,13:33:25,1.7,19.39,-99.153,3.5,"1 km al SURESTE de BENITO JUAREZ, CDMX",30/06/2018,18:33:25,revisado
30/06/2018,13:37:00,2.6,19.3895,-99.153,3.5,"1 km al SURESTE de BENITO JUAREZ, CDMX",30/06/2018,18:37:00,revisado
15/07/2018,20:23:52,1.7,19.4203,-99.1952,3,"2 km al NOROESTE de MIGUEL HIDALGO, CDMX",16/07/2018,01:23:52,revisado
15/07/2018,20:34:14,2.2,19.417,-99.215,4,"2 km al NOROESTE de V ALVARO OBREGON, CDMX",16/07/2018,01:34:14,revisado
18/07/2018,15:13:00,1.9,19.375,-99.201,3,"3 km al SUR de V ALVARO OBREGON, CDMX",18/07/2018,20:13:00,revisado
19/07/2018,06:34:58,1.9,19.3727,-99.2007,3.2,"3 km al SUR de V ALVARO OBREGON, CDMX",19/07/2018,11:34:58,revisado
28/07/2018,07:54:21,2.4,19.3908,-99.2298,4.4,"3 km al SUROESTE de V ALVARO OBREGON, CDMX",28/07/2018,12:54:21,revisado
14/09/2018,11:07:57,2.1,19.3748,-99.1347,1.3,"4 km al SURESTE de BENITO JUAREZ, CDMX",14/09/2018,16:07:57,revisado
14/09/2018,11:20:13,2,19.3797,-99.129,1.2,"4 km al SUROESTE de IZTACALCO, CDMX",14/09/2018,16:20:13,revisado
14/09/2018,11:39:23,1.5,19.38,-99.129,1,"4 km al SUROESTE de IZTACALCO, CDMX",14/09/2018,16:39:23,revisado
27/09/2018,22:56:39,2.1,19.32,-99.163,1,"3 km al SUR de COYOACAN, CDMX",28/09/2018,03:56:39,revisado
05/10/2018,09:59:27,2.4,19.375,-99.1833,1.5,"3 km al SURESTE de V ALVARO OBREGON, CDMX",05/10/2018,14:59:27,revisado
13/10/2018,08:54:16,1.8,19.409,-99.1978,2.9,"1 km al NOROESTE de MIGUEL HIDALGO, CDMX",13/10/2018,13:54:16,revisado
14/11/2018,16:08:28,2.7,19.3158,-99.286,1,"4 km al SURESTE de SAN LORENZO ACOPILCO, CDMX",14/11/2018,22:08:28,revisado
23/11/2018,22:44:11,2.9,19.404,-99.13,7,"2 km al SUROESTE de VENUSTIANO CARRANZA, CDMX",24/11/2018,04:44:11,revisado
12/12/2018,11:51:39,2.2,19.388,-99.2208,1.7,"3 km al SUROESTE de V ALVARO OBREGON, CDMX",12/12/2018,17:51:39,revisado
11/01/2019,01:41:16,1.5,19.3862,-99.1267,10.7,"3 km al SUROESTE de IZTACALCO, CDMX",11/01/2019,07:41:16,revisado
29/03/2019,02:31:56,2.2,19.4093,-99.2187,1,"2 km al NOROESTE de V ALVARO OBREGON, CDMX",29/03/2019,08:31:56,revisado
18/05/2019,22:13:16,1.7,19.3957,-99.2097,1.1,"1 km al SUROESTE de V ALVARO OBREGON, CDMX",19/05/2019,03:13:16,revisado
18/05/2019,22:13:27,1,19.384,-99.212,2,"2 km al SUROESTE de V ALVARO OBREGON, CDMX",19/05/2019,03:13:27,revisado
26/05/2019,21:07:22,1,19.2303,-99.3085,3,"11 km al OESTE de S MIGUEL AJUSCO, CDMX",27/05/2019,02:07:22,revisado
30/06/2019,06:38:21,2.3,19.409,-99.1998,1.7,"1 km al NOROESTE de MIGUEL HIDALGO, CDMX",30/06/2019,11:38:21,revisado
30/06/2019,06:38:33,1.4,19.395,-99.202,2,"1 km al SUROESTE de V ALVARO OBREGON, CDMX",30/06/2019,11:38:33,revisado
12/07/2019,04:47:41,2,19.4077,-99.195,menos de 1,"menos de 1 km al NOROESTE de MIGUEL HIDALGO, CDMX",12/07/2019,09:47:41,revisado
12/07/2019,07:38:28,2.7,19.4049,-99.1959,menos de 1,"1 km al SUROESTE de MIGUEL HIDALGO, CDMX",12/07/2019,12:38:28,revisado
12/07/2019,07:51:13,2.3,19.406,-99.1893,1,"menos de 1 km al SURESTE de MIGUEL HIDALGO, CDMX",12/07/2019,12:51:13,revisado
12/07/2019,10:08:04,2.4,19.4049,-99.1939,menos de 1,"menos de 1 km al SUROESTE de MIGUEL HIDALGO, CDMX",12/07/2019,15:08:04,revisado
