AÑO,RAMO_ID,RAMO,DENOMINACION, MONTO ,FACTOR, VALOR_REAL 
2023,38,"Consejo Nacional de Humanidades, Ciencia y Tecnologia","Apoyos institucionales para actividades cientificas, tecnologicas y de innovacion","$142,650,990.00 ",1.2897,"$110,607,885.60 "
2023,38,"Consejo Nacional de Humanidades, Ciencia y Tecnologia",Becas de posgrado y otras modalidades de apoyo a la calidad,"$141,496,644.00 ",1.2897,"$109,712,835.50 "
2023,47,Entidades No Sectorizadas,Operación y conservación de infraestructura ferroviaria,"$759,569.00 ",1.2897,"$588,950.14 "
2023,47,Entidades No Sectorizadas, Programa para el Bienestrar Integral de los Pueblos Indigenas,"$31,915,053.00 ",1.2897,"$24,746,106.07 "
2023,52,Petroleos Mexicanos,Proyectos de infraestructura economica de hidrocarburos,"$1,557,136,725.00 ",1.2897,"$1,207,363,515.00 "
2023,52,Petroleos Mexicanos,Operación y mantenimiento de la infraestructura en ecología,"$1,150,000.00 ",1.2897,"$891,680.24 "
2023,52,Petroleos Mexicanos,Mantenimiento de infraestructura,"$25,365,000.00 ",1.2897,"$19,667,364.50 "
2023,53,Comision Federal de Electricidad,Mantenimiento de infraestructura,"$329,353,323.00 ",1.2897,"$255,372,042.30 "
2023,53,Comision Federal de Electricidad,Servicio de transporte de gas natural,"$20,786,919,389.00 ",1.2897,"$16,117,639,287.00 "
2023,53,Comision Federal de Electricidad,Proyectos de infraestructura economica de electricidad,"$404,509,581.00 ",1.2897,"$313,646,259.60 "
2023,53,Comision Federal de Electricidad,Promocion de medidas para el ahorro y uso eficiente de la energia electrica,"$1,867,000.00 ",1.2897,"$1,447,623.48 "
2024,7,Defensa Nacional,Prestación de Servicios Públicos de Transporte Masivo de Personas y Carga Tren Maya,"$5,937,262,358.00 ",1.36095,"$4,362,586,692.00 "
2024,7,Defensa Nacional,Proyectos de Transporte Masivo de Pasajeros,"$120,000,000,000.00 ",1.36095,"$88,173,702,193.00 "
2024,8,Agricultura y Desarrollo Rural,"Desarrollo, aplicacion de programas educativos e investigacion en materia agroalimentaria","$10,782,782.00 ",1.36095,"$7,922,981.74 "
2024,8,Agricultura y Desarrollo Rural,Generacion de Proyectos de Investigacion,"$1,517,258.00 ",1.36095,"$1,114,852.13 "
2024,8,Agricultura y Desarrollo Rural,Actividades de apoyo administrativo,"$10,065,221.00 ",1.36095,"$7,395,731.66 "
2024,8,Agricultura y Desarrollo Rural,Diseño y Aplicacion de la Politica Agropecuaria,"$10,904,688.00 ",1.36095,"$8,012,555.94 "
2024,8,Agricultura y Desarrollo Rural,"Programa de Abasto Social de Leche a cargo de Liconsa, S.A. de C.V.","$427,500,000.00 ",1.36095,"$314,118,814.10 "
2024,8,Agricultura y Desarrollo Rural,"Programa de Abasto Rural a cargo de Diconsa, S.A. de C.V. (DICONSA)","$986,360,000.00 ",1.36095,"$724,758,440.80 "
2024,8,Agricultura y Desarrollo Rural,Sanidad e Inocuidad Agroalimentaria,"$107,764,591.00 ",1.36095,"$79,183,357.95 "
2024,8,Agricultura y Desarrollo Rural,Produccion para el Bienestar,"$566,999,993.00 ",1.36095,"$416,620,737.70 "
2024,8,Agricultura y Desarrollo Rural,"Programa de Fomento a la Agricultura, ganaderia, pesca y acuicultura","$4,860,000.00 ",1.36095,"$3,571,034.94 "
2024,9,Comunicaciones y Transportes,Reconstruccion y Conservacion de Carreteras,"$128,000,000.00 ",1.36095,"$94,051,949.01 "
2024,10,Economia,Estudios de preinversion,"$3,260,010.00 ",1.36095,"$2,395,392.92 "
2024,11,Educacion Publica,Servicios de Educacion Media Superior,"$1,618,647,721.00 ",1.36095,"$1,189,351,351.00 "
2024,11,Educacion Publica,Servicios de Educación Superior y Posgrado,"$276,384,398.00 ",1.36095,"$203,081,963.30 "
2024,11,Educacion Publica,Investigacion cientifica y tecnologica,"$1,534,477,805.00 ",1.36095,"$1,127,504,908.00 "
2024,11,Educacion Publica,Programa Nacional de Becas,"$2,922,081.00 ",1.36095,"$2,147,089.17 "
2024,11,Educacion Publica,Subsidios para organismos descentralizados estatales,"$22,199,992.00 ",1.36095,"$16,312,129.03 "
